Код диагноза,Название диагноза,Код родителя
D64.9,Анемия неуточненная,D64
D65-D69,"НАРУШЕНИЯ СВЕРТЫВАЕМОСТИ КРОВИ, ПУРПУРА И ДРУГИЕ ГЕМОРРАГИЧЕСКИЕ СОСТОЯНИЯ (D65-D69)",D50-D89
D65,Диссеминированное внутрисосудистое свертывание [синдром дефибринации],D65-D69
D66,Наследственный дефицит фактора VIII,D65-D69
D67,Наследственный дефицит фактора IX,D65-D69
D68,Другие нарушения свертываемости,D65-D69
D68.0,Болезнь Виллебранда,D68
D68.1,Наследственный дефицит фактора XI,D68
D68.2,Наследственный дефицит других факторов свертывания,D68
D68.3,"Геморрагические нарушения, обусловленные циркулирующими в крови антикоагулянтами",D68
D68.4,Приобретенный дефицит фактора свертывания,D68
D68.5,Первичная тромбофилия,D68
D68.6,Другая тромбофилия,D68
D68.8,Другие уточненные нарушения свертываемости,D68
D68.9,Нарушение свертываемости неуточненное,D68
D69,Пурпура и другие геморрагические состояния,D65-D69
D69.0,Аллергическая пурпура,D69
D69.1,Качественные дефекты тромбоцитов,D69
D69.2,Другая нетромбоцитопеническая пурпура,D69
D69.3,Идиопатическая тромбоцитопеническая пурпура,D69
D69.4,Другие первичные тромбоцитопении,D69
D69.5,Вторичная тромбоцитопения,D69
D69.6,Тромбоцитопения неуточненная,D69
D69.8,Другие уточненные геморрагические состояния,D69
D69.9,Геморрагическое состояние неуточненное,D69
D70-D77,ДРУГИЕ БОЛЕЗНИ КРОВИ И КРОВЕТВОРНЫХ ОРГАНОВ (D70-D77),D50-D89
D70,Агранулоцитоз,D70-D77
D71,Функциональные нарушения полиморфно-ядерных нейтрофилов,D70-D77
D72,Другие нарушения белых кровяных клеток,D70-D77
D72.0,Генетические аномалии лейкоцитов,D72
D72.1,Эозинофилия,D72
D72.8,Другие уточненные нарушения белых кровяных клеток,D72
D72.9,Нарушение белых кровяных клеток неуточненное,D72
D73,Болезни селезенки,D70-D77
D73.0,Гипоспленизм,D73
D73.1,Гиперспленизм,D73
D73.2,Хроническая застойная спленомегалия,D73
D73.3,Абсцесс селезенки,D73
D73.4,Киста селезенки,D73
D73.5,Инфаркт селезенки,D73
D73.8,Другие болезни селезенки,D73
D73.9,Болезнь селезенки неуточненная,D73
D74,Метгемоглобинемия,D70-D77
D74.0,Врожденная метгемоглобинемия,D74
D74.8,Другие метгемоглобинемии,D74
D74.9,Метгемоглобинемия неуточненная,D74
D75,Другие болезни крови и кроветворных органов,D70-D77
D75.0,Семейный эритроцитоз,D75
D75.1,Вторичная полицитемия,D75
D75.2,Эссенциальный тромбоцитоз,D75
D75.8,Другие уточненные болезни крови и кроветворных органов,D75
D75.9,Болезнь крови и кроветворных органов неуточненная,D75
D76,"Отдельные болезни, протекающие с вовлечением лимфоретикулярной ткани и ретикулогистиоцитарной системы",D70-D77
D76.0,"Гистиоцитоз из клеток Лангерганса, не классифицированный в других рубриках",D76
D76.1,Гемофагоцитарный лимфогистиоцитоз,D76
D76.2,"Гемофагоцитарный синдром, связанный с инфекцией",D76
D76.3,Другие гистиоцитозные синдромы,D76
D77,"Другие нарушения крови и кроветворных органов при болезнях, классифицированных в других рубриках",D70-D77
D80-D89,"ОТДЕЛЬНЫЕ НАРУШЕНИЯ, ВОВЛЕКАЮЩИЕ ИММУННЫЙ МЕХАНИЗМ (D80-D89)",D50-D89
D80,Иммунодефициты с преимущественной недостаточностью антител,D80-D89
D80.0,Наследственная гипогаммаглобулинемия,D80
D80.1,Несемейная гипогаммаглобулинемия,D80
D80.2,Избирательный дефицит иммуноглобулина A [IgA],D80
D80.3,Избирательный дефицит подклассов иммуноглобулина G [IgG],D80
D80.4,Избирательный дефицит иммуноглобулина M [IgM],D80
D80.5,Иммунодефицит с повышенным содержанием иммуноглобулина M [IgM],D80
D80.6,Недостаточность антител с близким к норме уровнем иммуноглобулинов или с гипериммуноглобулинемией,D80
D80.7,Преходящая гипогаммаглобулинемия детей,D80
D80.8,Другие иммунодефициты с преимущественным дефектом антител,D80
D80.9,Иммунодефицит с преимущественным дефектом антител неуточненный,D80
D81,Комбинированные иммунодефициты,D80-D89
D81.0,Тяжелый комбинированный иммунодефицит с ретикулярным дисгенезом,D81
D81.1,Тяжелый комбинированный иммунодефицит с низким содержанием T- и B-клеток,D81
D81.2,Тяжелый комбинированный иммунодефицит с низким или нормальным содержанием B-клеток,D81
D81.3,Дефицит аденозиндезаминазы [АДА],D81
D81.4,Синдром Незелофа,D81
D81.5,Дефицит пуриннуклеозидфосфорилазы,D81
D81.6,Дефицит молекул класса I главного комплекса гистосовместимости,D81
D81.7,Дефицит молекул класса II главного комплекса гистосовместимости,D81
D81.8,Другие комбинированные иммунодефициты,D81
D81.9,Комбинированный иммунодефицит неуточненный,D81
D82,"Иммунодефициты, связанные с другими значительными дефектами",D80-D89
D82.0,Синдром Вискотта-Олдрича,D82
D82.1,Синдром Ди Георга,D82
D82.2,Иммунодефицит с карликовостью за счет коротких конечностей,D82
D82.3,"Иммунодефицит вследствие наследственного дефекта, вызванного вирусом Эпштейна-Барр",D82
D82.4,Синдром гипериммуноглобулина E [IgE],D82
D82.8,"Иммунодефицит, связанный с другими уточненными значительными дефектами",D82
D82.9,"Иммунодефицит, связанный со значительным дефектом, неуточненный",D82
D83,Обычный вариабельный иммунодефицит,D80-D89
D83.0,Общий вариабельный иммунодефицит с преобладающими отклонениями в количестве и функциональной активности B-клеток,D83
D83.1,Общий вариабельный иммунодефицит с преобладанием нарушений иммунорегуляторных T-клеток,D83
D83.2,Общий вариабельный иммунодефицит с аутоантителами к B- или T-клеткам,D83
D83.8,Другие общие вариабельные иммунодефициты,D83
D83.9,Общий вариабельный иммунодефицит неуточненный,D83
D84,Другие иммунодефициты,D80-D89
D84.0,Дефект функционального антигена-1 лимфоцитов [LFA-1],D84
D84.1,Дефект в системе комплемента,D84
D84.8,Другие уточненные иммунодефицитные нарушения,D84
D84.9,Иммунодефицит неуточненный,D84
D86,Саркоидоз,D80-D89
D86.0,Саркоидоз легких,D86
D86.1,Саркоидоз лимфатических узлов,D86
D86.2,Саркоидоз легких с саркоидозом лимфатических узлов,D86
D86.3,Саркоидоз кожи,D86
D86.8,Саркоидоз других уточненных и комбинированных локализаций,D86
D86.9,Саркоидоз неуточненный,D86
D89,"Другие нарушения с вовлечением иммунного механизма, не классифицированные в других рубриках",D80-D89
D89.0,Поликлональная гипергаммаглобулинемия,D89
D89.1,Криоглобулинемия,D89
D89.2,Гипергаммаглобулинемия неуточненная,D89
D89.3,Синдром иммунной реконструкции,D89
D89.8,"Другие уточненные нарушения с вовлечением иммунного механизма, не классифицированные в других рубриках",D89
D89.9,"Нарушение, вовлекающее иммунный механизм, неуточненное",D89
E00-E90,"БОЛЕЗНИ ЭНДОКРИННОЙ СИСТЕМЫ, РАССТРОЙСТВА ПИТАНИЯ И НАРУШЕНИЯ ОБМЕНА ВЕЩЕСТВ (E00-E90)",
E00-E07,БОЛЕЗНИ ЩИТОВИДНОЙ ЖЕЛЕЗЫ (E00-E07),E00-E90
E00,Синдром врожденной йодной недостаточности,E00-E07
E00.0,"Синдром врожденной йодной недостаточности, неврологическая форма",E00
E00.1,"Синдром врожденной йодной недостаточности, микседематозная форма",E00
E00.2,"Синдром врожденной йодной недостаточности, смешанная форма",E00
E00.9,Синдром врожденной йодной недостаточности неуточненный,E00
E01,"Болезни щитовидной железы, связанные с йодной недостаточностью, и сходные состояния",E00-E07
E01.0,"Диффузный (эндемический) зоб, связанный с йодной недостаточностью",E01
E01.1,"Многоузловой (эндемический) зоб, связанный с йодной недостаточностью",E01
E01.2,"Зоб (эндемический), связанный с йодной недостаточностью, неуточненный",E01
E01.8,"Другие болезни щитовидной железы, связанные с йодной недостаточностью, и сходные состояния",E01
E02,Субклинический гипотиреоз вследствие йодной недостаточности,E00-E07
E03,Другие формы гипотиреоза,E00-E07
E03.0,Врожденный гипотиреоз с диффузным зобом,E03
E03.1,Врожденный гипотиреоз без зоба,E03
E03.2,"Гипотиреоз, вызванный медикаментами и другими экзогенными веществами",E03
E03.3,Постинфекционный гипотиреоз,E03
E03.4,Атрофия щитовидной железы (приобретенная),E03
E03.5,Микседематозная кома,E03
E03.8,Другие уточненные гипотиреозы,E03
E03.9,Гипотиреоз неуточненный,E03
E04,Другие формы нетоксического зоба,E00-E07
E04.0,Нетоксический диффузный зоб,E04
E04.1,Нетоксический одноузловой зоб,E04
E04.2,Нетоксический многоузловой зоб,E04
E04.8,Другие уточненные формы нетоксического зоба,E04
E04.9,Нетоксический зоб неуточненный,E04
E05,Тиреотоксикоз [гипертиреоз],E00-E07
E05.0,Тиреотоксикоз с диффузным зобом,E05
E05.1,Тиреотоксикоз с токсическим одноузловым зобом,E05
E05.2,Тиреотоксикоз с токсическим многоузловым зобом,E05
E05.3,Тиреотоксикоз с эктопией тиреоидной ткани,E05
E05.4,Тиреотоксикоз искусственный,E05
E05.5,Тиреоидный криз или кома,E05
E05.8,Другие формы тиреотоксикоза,E05
E05.9,Тиреотоксикоз неуточненный,E05
E06,Тиреоидит,E00-E07
E06.0,Острый тиреоидит,E06
E06.1,Подострый тиреоидит,E06
E06.2,Хронический тиреоидит с преходящим тиреотоксикозом,E06
E06.3,Аутоиммунный тиреоидит,E06
E06.4,Медикаментозный тиреоидит,E06
E06.5,Другой хронический тиреоидит,E06
E06.9,Тиреоидит неуточненный,E06
E07,Другие болезни щитовидной железы,E00-E07
E07.0,Гиперсекреция кальцитонина,E07
E07.1,Дисгормональный зоб,E07
E07.8,Другие уточненные болезни щитовидной железы,E07
E07.9,Болезнь щитовидной железы неуточненная,E07
E10-E14,САХАРНЫЙ ДИАБЕТ (E10-E14),E00-E90
E10,Инсулинзависимый сахарный диабет,E10-E14
E10.0,Инсулинзависимый сахарный диабет с комой,E10
E10.1,Инсулинзависимый сахарный диабет с кетоацидозом,E10
E10.2,Инсулинзависимый сахарный диабет с поражением почек,E10
E10.3,Инсулинзависимый сахарный диабет с поражениями глаз,E10
E10.4,Инсулинзависимый сахарный диабет с неврологическими осложнениями,E10
E10.5,Инсулинзависимый сахарный диабет с нарушениями периферического кровообращения,E10
E10.6,Инсулинзависимый сахарный диабет с другими уточненными осложнениями,E10
E10.7,Инсулинзависимый сахарный диабет с множественными осложнениями,E10
E10.8,Инсулинзависимый сахарный диабет с неуточненными осложнениями,E10
E10.9,Инсулинзависимый сахарный диабет без осложнений,E10
E11,Инсулиннезависимый сахарный диабет,E10-E14
E11.0,Инсулиннезависимый сахарный диабет с комой,E11
E11.1,Инсулиннезависимый сахарный диабет с кетоацидозом,E11
E11.2,Инсулиннезависимый сахарный диабет с поражением почек,E11
E11.3,Инсулиннезависимый сахарный диабет с поражениями глаз,E11
E11.4,Инсулиннезависимый сахарный диабет с неврологическими осложнениями,E11
E11.5,Инсулиннезависимый сахарный диабет с нарушениями периферического кровообращения,E11
E11.6,Инсулиннезависимый сахарный диабет с другими уточненными осложнениями,E11
E11.7,Инсулиннезависимый сахарный диабет с множественными осложнениями,E11
E11.8,Инсулиннезависимый сахарный диабет с неуточненными осложнениями,E11
E11.9,Инсулиннезависимый сахарный диабет без осложнений,E11
E12,"Сахарный диабет, связанный с недостаточностью питания",E10-E14
E12.0,"Сахарный диабет, связанный с недостаточностью питания с комой",E12
E12.1,"Сахарный диабет, связанный с недостаточностью питания с кетоацидозом",E12
E12.2,"Сахарный диабет, связанный с недостаточностью питания с поражением почек",E12
E12.3,"Сахарный диабет, связанный с недостаточностью питания с поражениями глаз",E12
E12.4,"Сахарный диабет, связанный с недостаточностью питания с неврологическими осложнениями",E12
E12.5,"Сахарный диабет, связанный с недостаточностью питания с нарушениями периферического кровообращения",E12
E12.6,"Сахарный диабет, связанный с недостаточностью питания с другими уточненными осложнениями",E12
E12.7,"Сахарный диабет, связанный с недостаточностью питания с множественными осложнениями",E12
E12.8,"Сахарный диабет, связанный с недостаточностью питания с неуточненными осложнениями",E12
E12.9,"Сахарный диабет, связанный с недостаточностью питания без осложнений",E12
E13,Другие уточненные формы сахарного диабета,E10-E14
E13.0,Другие уточненные формы сахарного диабета с комой,E13
E13.1,Другие уточненные формы сахарного диабета с кетоацидозом,E13
E13.2,Другие уточненные формы сахарного диабета с поражением почек,E13
E13.3,Другие уточненные формы сахарного диабета с поражениями глаз,E13
E13.4,Другие уточненные формы сахарного диабета с неврологическими осложнениями,E13
E13.5,Другие уточненные формы сахарного диабета с нарушениями периферического кровообращения,E13
E13.6,Другие уточненные формы сахарного диабета с другими уточненными осложнениями,E13
E13.7,Другие уточненные формы сахарного диабета с множественными осложнениями,E13
E13.8,Другие уточненные формы сахарного диабета с неуточненными осложнениями,E13
E13.9,Другие уточненные формы сахарного диабета без осложнений,E13
E14,Сахарный диабет неуточненный,E10-E14
E14.0,Сахарный диабет неуточненный с комой,E14
E14.1,Сахарный диабет неуточненный с кетоацидозом,E14
E14.2,Сахарный диабет неуточненный с поражением почек,E14
E14.3,Сахарный диабет неуточненный с поражениями глаз,E14
E14.4,Сахарный диабет неуточненный с неврологическими осложнениями,E14
E14.5,Сахарный диабет неуточненный с нарушениями периферического кровообращения,E14
E14.6,Сахарный диабет неуточненный с другими уточненными осложнениями,E14
E14.7,Сахарный диабет неуточненный с множественными осложнениями,E14
E14.8,Сахарный диабет неуточненный с неуточненными осложнениями,E14
E14.9,Сахарный диабет неуточненный без осложнений,E14
E15-E16,ДРУГИЕ НАРУШЕНИЯ РЕГУЛЯЦИИ ГЛЮКОЗЫ И ВНУТРЕННЕЙ СЕКРЕЦИИ ПОДЖЕЛУДОЧНОЙ ЖЕЛЕЗЫ (E15-E16),E00-E90
E15,Недиабетическая гипогликемическая кома,E15-E16
E16,Другие нарушения внутренней секреции поджелудочной железы,E15-E16
E16.0,Медикаментозная гипогликемия без комы,E16
E16.1,Другие формы гипогликемии,E16
E16.2,Гипогликемия неуточненная,E16
E16.3,Увеличенная секреция глюкагона,E16
E16.4,Патологическая секреция гастрина,E16
E16.8,Другие уточненные нарушения внутренней секреции поджелудочной железы,E16
E16.9,Нарушение внутренней секреции поджелудочной железы неуточненное,E16
E20-E35,НАРУШЕНИЯ ДРУГИХ ЭНДОКРИННЫХ ЖЕЛЕЗ (E20-E35),E00-E90
E20,Гипопаратиреоз,E20-E35
E20.0,Идиопатический гипопаратиреоз,E20
E20.1,Псевдогипопаратиреоз,E20
E20.8,Другие формы гипопаратиреоза,E20
E20.9,Гипопаратиреоз неуточненный,E20
E21,Гиперпаратиреоз и другие нарушения паращитовидной [околощитовидной] железы,E20-E35
E21.0,Первичный гиперпаратиреоз,E21
E21.1,"Вторичный гиперпаратиреоз, не классифицированный в других рубриках",E21
E21.2,Другие формы гиперпаратиреоза,E21
E21.3,Гиперпаратиреоз неуточненный,E21
E21.4,Другие уточненные нарушения паращитовидной железы,E21
E21.5,Болезнь паращитовидных желез неуточненная,E21
E22,Гиперфункция гипофиза,E20-E35
E22.0,Акромегалия и гипофизарный гигантизм,E22
E22.1,Гиперпролактинемия,E22
E22.2,Синдром неадекватной секреции антидиуретического гормона,E22
E22.8,Другие состояния гиперфункции гипофиза,E22
E22.9,Гиперфункция гипофиза неуточненная,E22
E23,Гипофункция и другие нарушения гипофиза,E20-E35
E23.0,Гипопитуитаризм,E23
E23.1,Медикаментозный гипопитуитаризм,E23
E23.2,Несахарный диабет,E23
E23.3,"Дисфункция гипоталамуса, не классифицированная в других рубриках",E23
E23.6,Другие болезни гипофиза,E23
E23.7,Болезнь гипофиза неуточненная,E23
E24,Синдром Иценко-Кушинга,E20-E35
E24.0,Болезнь Иценко-Кушинга гипофизарного происхождения,E24
E24.1,Синдром Нельсона,E24
E24.2,Медикаментозный синдром Иценко-Кушинга,E24
E24.3,Эктопический АКТГ-синдром,E24
E24.4,"Кушингоидный синдром, вызванный алкоголем",E24
E24.8,"Другие состояния, характеризующиеся кушингоидным синдромом",E24
E24.9,Синдром Иценко-Кушинга неуточненный,E24
E25,Адреногенитальные расстройства,E20-E35
E25.0,"Врожденные адреногенитальные нарушения, связанные с дефицитом ферментов",E25
E25.8,Другие адреногенитальные нарушения,E25
E25.9,Адреногенитальное нарушение неуточненное,E25
E26,Гиперальдостеронизм,E20-E35
E26.0,Первичный гиперальдостеронизм,E26
E26.1,Вторичный гиперальдостеронизм,E26
E26.8,Другие формы гиперальдостеронизма,E26
E26.9,Гиперальдостеронизм неуточненный,E26
E27,Другие нарушения надпочечников,E20-E35
E27.0,Другие виды гиперсекреции коры надпочечников,E27
E27.1,Первичная недостаточность коры надпочечников,E27
E27.2,Аддисонов криз,E27
E27.3,Медикаментозная недостаточность коры надпочечников,E27
E27.4,Другая и неуточненная недостаточность коры надпочечников,E27
E27.5,Гиперфункция мозгового слоя надпочечников,E27
E27.8,Другие уточненные нарушения надпочечников,E27
E27.9,Болезнь надпочечников неуточненная,E27
E28,Дисфункция яичников,E20-E35
E28.0,Избыток эстрогенов,E28
E28.1,Избыток андрогенов,E28
E28.2,Синдром поликистоза яичников,E28
E28.3,Первичная яичниковая недостаточность,E28
E28.8,Другие виды дисфункции яичников,E28
E28.9,Дисфункция яичников неуточненная,E28
E29,Дисфункция яичек,E20-E35
E29.0,Гиперфункция яичек,E29
E29.1,Гипофункция яичек,E29
E29.8,Другие виды дисфункции яичек,E29
E29.9,Дисфункция яичек неуточненная,E29
E30,"Нарушения полового созревания, не классифицированные в других рубриках",E20-E35
E30.0,Задержка полового созревания,E30
E30.1,Преждевременное половое созревание,E30
E30.8,Другие нарушения полового созревания,E30
E30.9,Нарушение полового созревания неуточненное,E30
E31,Полигландулярная дисфункция,E20-E35
E31.0,Аутоиммунная полигландулярная недостаточность,E31
E31.1,Полигландулярная гиперфункция,E31
E31.8,Другая полигландулярная дисфункция,E31
E31.9,"Полигландулярная дисфункция, неуточненная",E31
E32,Болезни вилочковой железы,E20-E35
E32.0,Стойкая гиперплазия вилочковой железы,E32
E32.1,Абсцесс вилочковой железы,E32
E32.8,Другие болезни вилочковой железы,E32
E32.9,Болезнь вилочковой железы неуточненная,E32
E34,Другие эндокринные нарушения,E20-E35
E34.0,Карциноидный синдром,E34
E34.1,Другие состояния гиперсекреции интестинальных гормонов,E34
E34.2,"Эктопическая гормональная секреция, не классифицированная в других рубриках",E34
E34.3,"Низкорослость [карликовость], не классифицированная в других рубриках",E34
E34.4,Конституциональная высокорослость,E34
E34.5,Синдром андрогенной резистентности,E34
E34.8,Другие уточненные эндокринные расстройства,E34
E34.9,Эндокринное расстройство неуточненное,E34
E35,"Нарушения эндокринных желез при болезнях, классифицированных в других рубриках",E20-E35
E35.0,"Нарушения щитовидной железы при болезнях, классифицированных в других рубриках",E35
E35.1,"Нарушения надпочечников при болезнях, классифицированных в других рубриках",E35
E35.8,"Нарушения других эндокринных желез при болезнях, классифицированных в других рубриках",E35
E40-E46,НЕДОСТАТОЧНОСТЬ ПИТАНИЯ (E40-E46),E00-E90
E40,Квашиоркор,E40-E46
E41,Алиментарный маразм,E40-E46
E42,Маразматический квашиоркор,E40-E46
E43,Тяжелая белково-энергетическая недостаточность неуточненная,E40-E46
E44,Белково-энергетическая недостаточность умеренной и слабой степени,E40-E46
E44.0,Умеренная белково-энергетическая недостаточность,E44
E44.1,Легкая белково-энергетическая недостаточность,E44
E45,"Задержка развития, обусловленная белково-энергетической недостаточностью",E40-E46
E46,Белково-энергетическая недостаточность неуточненная,E40-E46
E50-E64,ДРУГИЕ ВИДЫ НЕДОСТАТОЧНОСТИ ПИТАНИЯ (E50-E64),E00-E90
E50,Недостаточность витамина A,E50-E64
E50.0,Недостаточность витамина A с ксерозом конъюнктивы,E50
E50.1,Недостаточность витамина A с бляшками Бито и ксерозом конъюнктивы,E50
E50.2,Недостаточность витамина A с ксерозом роговицы,E50
E50.3,Недостаточность витамина A с изъязвлением роговицы и ксерозом,E50
E50.4,Недостаточность витамина A с кератомаляцией,E50
E50.5,Недостаточность витамина A с куриной слепотой,E50
E50.6,Недостаточность витамина A с ксерофтальмическими рубцами роговицы,E50
E50.7,Другие глазные проявления недостаточности витамина A,E50
E50.8,Другие проявления недостаточности витамина A,E50
E50.9,Недостаточность витамина A неуточненная,E50
E51,Недостаточность тиамина,E50-E64
E51.1,Бери-бери,E51
E51.2,Энцефалопатия Вернике,E51
E51.8,Другие проявления недостаточности тиамина,E51
E51.9,Недостаточность тиамина неуточненная,E51
E52,Недостаточность никотиновой кислоты [пеллагра],E50-E64
E53,Недостаточность других витаминов группы B,E50-E64
E53.0,Недостаточность рибофлавина,E53
E53.1,Недостаточность пиридоксина,E53
E53.8,Недостаточность других уточненных витаминов группы B,E53
E53.9,Недостаточность витаминов группы B неуточненная,E53
E54,Недостаточность аскорбиновой кислоты,E50-E64
E55,Недостаточность витамина D,E50-E64
E55.0,Рахит активный,E55
E55.9,Недостаточность витамина D неуточненная,E55
E56,Недостаточность других витаминов,E50-E64
E56.0,Недостаточность витамина E,E56
E56.1,Недостаточность витамина K,E56
E56.8,Недостаточность других витаминов,E56
E56.9,Недостаточность витаминов неуточненная,E56
E58,Алиментарная недостаточность кальция,E50-E64
E59,Алиментарная недостаточность селена,E50-E64
E60,Алиментарная недостаточность цинка,E50-E64
E61,Недостаточность других элементов питания,E50-E64
E61.0,Недостаточность меди,E61
E61.1,Недостаточность железа,E61
E61.2,Недостаточность магния,E61
E61.3,Недостаточность марганца,E61
E61.4,Недостаточность хрома,E61
E61.5,Недостаточность молибдена,E61
E61.6,Недостаточность ванадия,E61
E61.7,Недостаточность многих элементов питания,E61
E61.8,Недостаточность других уточненных элементов питания,E61
E61.9,Недостаточность элементов питания неуточненная,E61
E63,Другие виды недостаточности питания,E50-E64
E63.0,Недостаточность незаменимых жирных кислот,E63
E63.1,Несбалансированное поступление пищевых элементов,E63
E63.8,Другие уточненные виды недостаточности питания,E63
E63.9,Недостаточность питания неуточненная,E63
E64,Последствия недостаточности питания и недостатка других питательных веществ,E50-E64
E64.0,Последствия белково-энергетической недостаточности,E64
E64.1,Последствия недостаточности витамина A,E64
E64.2,Последствия недостаточности витамина C,E64
E64.3,Последствия рахита,E64
E64.8,Последствия недостаточности других витаминов,E64
E64.9,Последствия недостаточности питательных веществ неуточненных,E64
E65-E68,ОЖИРЕНИЕ И ДРУГИЕ ВИДЫ ИЗБЫТОЧНОСТИ ПИТАНИЯ (E65-E68),E00-E90
E65,Локализованное отложение жира,E65-E68
E66,Ожирение,E65-E68
E66.0,"Ожирение, обусловленное избыточным поступлением энергетических ресурсов",E66
E66.1,"Ожирение, вызванное приемом лекарственных средств",E66
E66.2,"Крайняя степень ожирения, сопровождаемая альвеолярной гиповентиляцией",E66
E66.8,Другие формы ожирения,E66
E66.9,Ожирение неуточненное,E66
E67,Другие виды избыточности питания,E65-E68
E67.0,Гипервитаминоз A,E67
E67.1,Гиперкаротинемия,E67
E67.2,Синдром мегадоз витамина B6,E67
E67.3,Гипервитаминоз D,E67
E67.8,Другие уточненные формы избыточности питания,E67
E68,Последствия избыточности питания,E65-E68
E70-E90,НАРУШЕНИЯ ОБМЕНА ВЕЩЕСТВ (E70-E90),E00-E90
E70,Нарушения обмена ароматических аминокислот,E70-E90
E70.0,Классическая фенилкетонурия,E70
E70.1,Другие виды гиперфенилаланинемии,E70
E70.2,Нарушения обмена тирозина,E70
E70.3,Альбинизм,E70
E70.8,Другие нарушения обмена ароматических аминокислот,E70
E70.9,Нарушения обмена ароматических аминокислот неуточненные,E70
E71,Нарушения обмена аминокислот с разветвленной цепью и обмена жирных кислот,E70-E90
E71.0,"Болезнь ""кленового сиропа""",E71
E71.1,Другие виды нарушений обмена аминокислот с разветвленной цепью,E71
E71.2,Нарушения обмена аминокислот с разветвленной цепью неуточненные,E71
E71.3,Нарушения обмена жирных кислот,E71
E72,Другие нарушения обмена аминокислот,E70-E90
E72.0,Нарушения транспорта аминокислот,E72
E72.1,Нарушения обмена серосодержащих аминокислот,E72
E72.2,Нарушения обмена цикла мочевины,E72
E72.3,Нарушения обмена лизина и гидроксилизина,E72
E72.4,Нарушения обмена орнитина,E72
E72.5,Нарушения обмена глицина,E72
E72.8,Другие уточненные нарушения обмена аминокислот,E72
E72.9,Нарушения обмена аминокислот неуточненные,E72
E73,Непереносимость лактозы,E70-E90
E73.0,Врожденная недостаточность лактозы,E73
E73.1,Вторичная недостаточность лактозы,E73
E73.8,Другие виды непереносимости лактозы,E73
E73.9,Непереносимость лактозы неуточненная,E73
E74,Другие нарушения обмена углеводов,E70-E90
E74.0,Болезни накопления гликогена,E74
E74.1,Нарушения обмена фруктозы,E74
E74.2,Нарушения обмена галактозы,E74
E74.3,Другие нарушения всасывания углеводов в кишечнике,E74
E74.4,Нарушения обмена пирувата и глюконеогенеза,E74
E74.8,Другие уточненные нарушения обмена углеводов,E74
E74.9,Нарушение обмена углеводов неуточненное,E74
E75,Нарушения обмена сфинголипидов и другие болезни накопления липидов,E70-E90
E75.0,Ганглиозидоз-GM2,E75
E75.1,Другие ганглиозидозы,E75
E75.2,Другие сфинголипидозы,E75
E75.3,Сфинголипидоз неуточненный,E75
E75.4,Липофусциноз нейронов,E75
E75.5,Другие нарушения накопления липидов,E75
E75.6,Болезнь накопления липидов неуточненная,E75
E76,Нарушения обмена гликозаминогликанов,E70-E90
E76.0,"Мукополисахаридоз, тип I",E76
E76.1,"Мукополисахаридоз, тип II",E76
E76.2,Другие мукополисахаридозы,E76
E76.3,Мукополисахаридоз неуточненный,E76
E76.8,Другие нарушения обмена глюкозаминогликанов,E76
E76.9,Нарушение обмена глюкозаминогликанов неуточненное,E76
E77,Нарушения обмена гликопротеинов,E70-E90
E77.0,Дефекты посттрансляционной модификации лизосомных ферментов,E77
E77.1,Дефекты деградации гликопротеидов,E77
E77.8,Другие нарушения обмена гликопротеидов,E77
E77.9,Нарушения обмена гликопротеидов неуточненные,E77
E78,Нарушения обмена липопротеидов и другие липидемии,E70-E90
E78.0,Чистая гиперхолестеринемия,E78
E78.1,Чистая гиперглицеридемия,E78
E78.2,Смешанная гиперлипидемия,E78
E78.3,Гиперхиломикронемия,E78
E78.4,Другие гиперлипидемии,E78
E78.5,Гиперлипидемия неуточненная,E78
E78.6,Недостаточность липопротеидов,E78
E78.8,Другие нарушения обмена липопротеидов,E78
E78.9,Нарушения обмена липопротеидов неуточненные,E78
E79,Нарушения обмена пуринов и пиримидинов,E70-E90
E79.0,Гиперурикемия без признаков воспалительного артрита и подагрических узлов,E79
E79.1,Синдром Леша-Нихена,E79
E79.8,Другие нарушения обмена пуринов и пиримидинов,E79
E79.9,Нарушение пуринового и пиримидинового обмена неуточненное,E79
E80,Нарушения обмена порфирина и билирубина,E70-E90
E80.0,Наследственная эритропоэтическая порфирия,E80
E80.1,Порфирия кожная медленная,E80
E80.2,Другие порфирии,E80
E80.3,Дефекты каталазы и пероксидазы,E80
E80.4,Синдром Жильберта,E80
E80.5,Синдром Криглера-Найяра,E80
E80.6,Другие нарушения обмена билирубина,E80
E80.7,Нарушение обмена билирубина неуточненное,E80
E83,Нарушения минерального обмена,E70-E90
E83.0,Нарушения обмена меди,E83
E83.1,Нарушения обмена железа,E83
E83.2,Нарушения обмена цинка,E83
E83.3,Нарушения обмена фосфора,E83
E83.4,Нарушения обмена магния,E83
E83.5,Нарушения обмена кальция,E83
E83.8,Другие нарушения минерального обмена,E83
E83.9,Нарушение минерального обмена неуточненное,E83
E84,Кистозный фиброз,E70-E90
E84.0,Кистозный фиброз с легочными проявлениями,E84
E84.1,Кистозный фиброз с кишечными проявлениями,E84
E84.8,Кистозный фиброз с другими проявлениями,E84
E84.9,Кистозный фиброз неуточненный,E84
E85,Амилоидоз,E70-E90
E85.0,Наследственный семейный амилоидоз без невропатии,E85
E85.1,Невротический наследственный семейный амилоидоз,E85
