code;classification
C01EB13;Acadesine
C01EB15;Trimetazidine
C01EB16;Ibuprofen
C01EB17;Ivabradine
C01EB18;Ranolazine
C01EB21;Regadenoson
C01EB22;Meldonium
C01EB23;Tiazotic acid
C01EX;Прочие комбинированные препараты для лечения заболеваний сердца
C02;Антигипертензивные препараты
C02A;Препараты центрального действия, уменьшающие стимулирующее влияние адренергической иннервации
C02AA;Алкалоиды раувольфии
C02AA01;Rescinnamine
C02AA02;Reserpine
C02AA03;Комбинация алкалоидов раувольфии
C02AA04;Сумма алкалоидов раувольфии
C02AA05;Deserpidine
C02AA06;Methoserpidine
C02AA07;Bietaserpine
C02AA52;Резерпин в комбинации с другими препаратами
C02AA53;Сумма алкалоидов раувольфии в комбинации с другими препаратами
C02AA57;Биэтазерпин в комбинации с другими препаратами
C02AB;Метилдопа
C02AB01;Methyldopa (левовращающая)
C02AB02;Methyldopa
C02AC;Агонисты имидазолиновых рецепторов
C02AC01;Clonidine
C02AC02;Guanfacine
C02AC04;Tolonidine
C02AC05;Moxonidine
C02AC06;Rilmenidine
C02B;Ганглиоблокаторы
C02BA;Сульфоновые производные
C02BA01;Trimetaphan
C02BB;Вторичные и третичные амины
C02BB01;Mecamylamine
C02BC;Четвертичные аммониевые соединения
C02C;Периферические антиадренергические препараты
C02CA;Альфа-адреноблокаторы
C02CA01;Prazosin
C02CA02;Indoramin
C02CA03;Trimazosin
C02CA04;Doxazosin
C02CA06;Urapidil
C02CC;Гуанетидиновые производные
C02CC01;Betanidine
C02CC02;Guanethidine
C02CC03;Guanoxan
C02CC04;Debrisoquine
C02CC05;Guanoclor
C02CC06;Guanazodine
C02CC07;Guanoxabenz
C02D;Препараты, действующие непосредственно на гладкую мускулатуру артериол
C02DA;Тиазидовые производные
C02DA01;Diazoxide
C02DB;Гидразинофталазиновые производные
C02DB01;Dihydralazine
C02DB02;Hydralazine
C02DB03;Endralazine
C02DB04;Cadralazine
C02DC;Пиримидиновые производные
C02DC01;Minoxidil
C02DD;Нитроферрицианидные производные
C02DD01;Nitroprusside
C02DG;Гуанидиновые производные
C02DG01;Pinacidil
C02K;Другие антигипертензивные препараты
C02KA;Алкалоиды (исключая алкалоиды раувольфии)
C02KA01;Veratrum
C02KB;Ингибиторы тирозингидроксилазы
C02KB01;Metirosine
C02KC;Ингибиторы моноаминооксидазы
C02KC01;Pargyline
C02KD;Антагонисты серотониновых рецепторов
C02KD01;Ketanserin
C02KX;Прочие антигипертензивные препараты
C02KX01;Bosentan
C02KX02;Ambrisentan
C02KX03;Sitaxentan
C02KX04;Macitentan
C02KX05;Riociguat
C02L;Антигипертензивные препараты в комбинации с диуретиками
C02LA;Алкалоиды раувольфии в комбинации с диуретиками
C02LA01;Резерпин в комбинации с диуретиками
C02LA02;Ресциннамин в комбинации с диуретиками
C02LA03;Дезерпидин в комбинации с диуретиками
C02LA04;Метозерпидин в комбинации с диуретиками
C02LA07;Биэтазерпин в комбинации с диуретиками
C02LA08;Сумма алкалоидов раувольфии в комбинации с диуретиками
C02LA09;Сиросингопин в комбинации с диуретиками
C02LA50;Комбинация алкалоидов раувольфии в сочетании с диуретиками
C02LA51;Резерпин и диуретики в комбинации с другими препаратами
C02LA52;Ресциннамин и диуретики в комбинации с другими препаратами
C02LA71;Резерпин и диуретики в комбинации с психолептиками
C02LB;Метилдопа в комбинации с диуретиками
C02LB01;Метилдопа (левовращающая) в комбинации с диуретиками
C02LC;Агонисты имидазолиновых рецепторов в комбинации с диуретиками
C02LC01;Клонидин в комбинации с диуретиками
C02LC05;Моксонидин в комбинации с диуретиками
C02LC51;Клонидин и диуретики в комбинации с другими препаратами
C02LE;Альфа-адреноблокаторы в комбинации с диуретиками
C02LE01;Празозин в комбинации с диуретиками
C02LF;Гуанидиновые производные в комбинации с диуретиками
C02LF01;Гуанетидин в комбинации с диуретиками
C02LG;Гидразинофталазиновые производные в комбинации с диуретиками
C02LG01;Дигидралазин в комбинации с диуретиками
C02LG02;Гидралазин в комбинации с диуретиками
C02LG03;Пикодралазин в комбинации с диуретиками
C02LG51;Дигидралазин и диуретики в комбинации с другими препаратами
C02LG73;Пикодралазин и диуретики в комбинации с психолептиками
C02LK;Алкалоиды (исключая алкалоиды раувольфии) в комбинации с диуретиками
C02LK01;Вератрум в комбинации с диуретиками
C02LL;Ингибиторы МАО в комбинации с диуретиками
C02LL01;Паргилин в комбинации с диуретиками
C02LN;Антагонисты серотониновых рецепторов в комбинации с диуретиками
C02LX;Прочие антигипертензивные препараты в комбинации с диуретиками
C02LX01;Пинацидил в комбинации с диуретиками
C02N;Комбинация антигипертензивных препаратов, включенных в ATC-группу C02
C03;Диуретики
C03A;Тиазидные диуретики
C03AA;Тиазидные диуретики
C03AA01;Bendroflumethiazide
C03AA02;Hydroflumethiazide
C03AA03;Hydrochlorothiazide
C03AA04;Chlorothiazide
C03AA05;Polythiazide
C03AA06;Trichlormethiazide
C03AA07;Cyclopenthiazide
C03AA08;Methyclothiazide
C03AA09;Cyclothiazide
C03AA13;Mebutizide
C03AB;Тиазидные диуретики в комбинации с солями калия
C03AB01;Бендрофлуметиазид в комбинации с солями калия
C03AB02;Гидрофлуметиазид в комбинации с солями калия
C03AB03;Гидрохлоротиазид в комбинации с солями калия
C03AB04;Хлоротиазид в комбинации с солями калия
C03AB05;Политиазид в комбинации с солями калия
C03AB06;Трихлорметиазид в комбинации с солями калия
C03AB07;Циклопентиазид в комбинации с солями калия
C03AB08;Метиклотиазид в комбинации с солями калия
C03AB09;Циклотиазид в комбинации с солями калия
C03AH;Тиазидные диуретики в комбинации с психолептикамии и/или анальгетиками
C03AH01;Хлоротиазид в комбинации с психолептиками и/или анальгетиками
C03AH02;Гидрофлуметиазид в комбинации с психолептиками и/или анальгетиками
C03AX;Тиазидные диуретики в комбинации с другими препаратами
C03AX01;Гидрохлоротиазид в комбинации с другими препаратами
C03B;Нетиазидные диуретики, действующие на кортикальный сегмент петли Генле
C03BA;Сульфонамиды
C03BA02;Quinethazone
C03BA03;Clopamide
C03BA04;Chlortalidone
C03BA05;Mefruside
C03BA07;Clofenamide
C03BA08;Metolazone
C03BA09;Meticrane
C03BA10;Xipamide
C03BA11;Indapamide
C03BA12;Clorexolone
C03BA13;Fenquizone
C03BA82;Клорексолон в комбинации с психолептиками
C03BB;Сульфонамиды в комбинации с солями калия
C03BB02;Хинетазон в комбинации с солями калия
C03BB03;Клопамид в комбинации с солями калия
C03BB04;Хлорталидон в комбинации с солями калия
C03BB05;Мефрусид в комбинации с солями калия
C03BB07;Клофенамид в комбинации с солями калия
C03BC;Ртуть-содержащие диуретики
C03BC01;Mersalyl
C03BD;Производные ксантинов
C03BD01;Theobromine
C03BK;Сульфонамиды в комбинации с другими препаратами
C03BX;Прочие диуретики, действующие на кортикальный сегмент петли Генле
C03BX03;Cicletanine
C03C;"Петлевые" диуретики
C03CA;Сульфонамидные диуретики
C03CA01;Furosemide
C03CA02;Bumetanide
C03CA03;Piretanide
C03CA04;Torasemide
C03CB;Сульфонамидные диуретики в комбинации с солями калия
C03CB01;Фуросемид в комбинации с солями калия
C03CB02;Буметанид в комбинации с солями калия
C03CC;Производные арилоксиуксусной кислоты
C03CC01;Etacrynic acid
C03CC02;Tienilic acid
C03CD;Производные пиразолона
C03CD01;Muzolimine
C03CX;Прочие петлевые диуретики
C03CX01;Etozolin
C03D;Калийсберегающие диуретики
C03DA;Антагонисты альдостерона
C03DA01;Spironolactone
C03DA02;Potassium canrenoate
C03DA03;Canrenone
C03DA04;Eplerenone
C03DB;Прочие калийсберегающие диуретики
C03DB01;Amiloride
C03DB02;Triamterene
C03E;Комбинация диуретиков с калийсберегающими препаратами
C03EA;Диуретики, действующие на кортикальный сегмент петли Генле, в комбинации с калийсберегающими препаратами
C03EA01;Гидрохлоротиазид в комбинации с калийсберегающими препаратами
C03EA02;Трихлорметиазид в комбинации с калийсберегающими препаратами
C03EA03;Эпитизид в комбинации с калийсберегающими препаратами
C03EA04;Алтизид в комбинации с калийсберегающими препаратами
C03EA05;Мебутизид в комбинации с калийсберегающими препаратами
C03EA06;Хлорталидон в комбинации с калийсберегающими препаратами
C03EA07;Циклопентиазид в комбинации с калийсберегающими препаратами
C03EA12;Метолазон в комбинации с калийсберегающими препаратами
C03EA13;Бендрофлуметиазид в комбинации с калийсберегающими препаратами
C03EA14;Бутизид в комбинации с калийсберегающими препаратами
C03EB;Петлевые диуретики в комбинации с калийсберегающими препаратами
C03EB01;Фуросемид в комбинации с калийсберегающими препаратами
C03EB02;Буметанид в комбинации с калийсберегающими препаратами
C03X;Прочие диуретики
C03XA;Антагонисты вазопрессина
C03XA01;Tolvaptan
C03XA02;Conivaptan
C04;Периферические вазодилататоры
C04A;Периферические вазодилататоры
C04AA;Производные 2-амино-1-фенилэтанола
C04AA01;Isoxsuprine
C04AA02;Buphenine
C04AA31;Bamethan
C04AB;Производные имидазола
C04AB01;Phentolamine
C04AB02;Tolazoline
C04AC;Никотиновая кислота и ее производные
C04AC01;Nicotinic acid
C04AC02;Nicotinyl alcohol (pyridylcarbinol)
C04AC03;Inositol nicotinate
C04AC07;Ciclonicate
C04AD;Пурины
C04AD01;Pentifylline
C04AD02;Xantinol nicotinate
C04AD03;Pentoxifylline
C04AD04;Etofylline nicotinate
C04AE;Алкалоиды спорыньи
C04AE01;Ergoloid mesylates
C04AE02;Nicergoline
C04AE04;Dihydroergocristine
C04AE51;Эрголоида мезилат в комбинации с другими препаратами
C04AE54;Дигидроэргокристин в комбинации с другими препаратами
C04AF;Ферментные препараты
C04AF01;Kallidinogenase
C04AX;Прочие периферические вазодилататоры
C04AX01;Cyclandelate
C04AX02;Phenoxybenzamine
C04AX07;Vincamine
C04AX10;Moxisylyte
C04AX11;Bencyclane
C04AX17;Vinburnine
C04AX19;Sulcotidil
C04AX20;Buflomedil
C04AX21;Naftidrofuryl
C04AX23;Butalamine
C04AX24;Visnadine
C04AX26;Cetiedil
C04AX27;Cinepazide
C04AX28;Ifenprodil
C04AX30;Azapetine
C04AX32;Fasudil
C05;Ангиопротекторы
C05A;Препараты для лечения геморроя и анальных трещин для местного применения
C05AA;Кортикостероиды
C05AA01;Hydrocortisone
C05AA04;Prednisolone
C05AA05;Betamethasone
C05AA06;Fluorometholone
C05AA08;Fluocortolone
C05AA09;Dexamethasone
C05AA10;Fluocinolone acetonide
C05AA11;Fluocinonide
C05AB;Антибиотики
C05AD;Анестетики
C05AD01;Lidocaine
C05AD02;Tetracaine
C05AD03;Benzocaine
C05AD04;Cinchocaine
C05AD05;Procaine
C05AD06;Oxetacaine
C05AD07;Pramocaine
C05AE;Препараты, расслабляющие мышцы
C05AE01;Glyceryl trinitrate
C05AE02;Isosorbide dinitrate
C05AX;Прочие препараты для лечения геморроя и анальных трещин для местного применения
C05AX01;Алюминия соединения
C05AX02;Висмута соединения в комбинации с другими препаратами
C05AX03;Прочие препараты и их комбинации
C05AX04;Цинка препараты
C05AX05;Tribenozide
C05B;Препараты, применяемые при варикозном расширении вен
C05BA;Гепариносодержащие препараты для местного применения
C05BA01;Гепариноиды органического происхождения
C05BA02;Sodium apolate
C05BA03;Heparin
C05BA04;Pentosan polysulfate sodium
C05BA51;Гепариноиды в комбинации с другими препаратами
C05BA53;Гепарин в комбинации с другими препаратами
C05BB;Веносклерозирующие препараты
C05BB01;Monoethanolamine oleate
C05BB02;Polidocanol
C05BB03;Сахар инвертированный
C05BB04;Sodium tetradecyl sulfate
C05BB05;Phenol
C05BB56;Глюкоза, комбинации
C05BX;Прочие веносклерозирующие препараты
C05BX01;Calcium dobesilate
C05BX51;Кальция добезилат в комбинации с другими препаратами
C05C;Препараты, снижающие проницаемость капилляров
C05CA;Биофлавоноиды
C05CA01;Rutoside
C05CA02;Monoxerutin
C05CA03;Diosmin
C05CA04;Troxerutin
C05CA05;Hidrosmin
C05CA51;Рутозиды в комбинации с другими препаратами
C05CA53;Диосмин в комбинации с другими препаратами
C05CA54;Троксерутин в комбинации с другими препаратами
C05CX;Прочие препараты, снижающие проницаемость капилляров
C05CX01;Tribenoside
C05CX03;Hippocastani semen
C07;Бета-адреноблокаторы
C07A;Бета-адреноблокаторы
C07AA;Неселективные бета-адреноблокаторы
C07AA01;Alprenolol
C07AA02;Oxprenolol
C07AA03;Pindolol
C07AA05;Propranolol
C07AA06;Timolol
C07AA07;Sotalol
C07AA12;Nadolol
C07AA14;Mepindolol
C07AA15;Carteolol
C07AA16;Tertatolol
C07AA17;Bopindolol
C07AA19;Bupranolol
C07AA23;Penbutolol
C07AA27;Cloranolol
C07AA57;Соталол в комбинации с другими препаратами
C07AB;Селективные бета1-адреноблокаторы
C07AB01;Practolol
C07AB02;Metoprolol
C07AB03;Atenolol
C07AB04;Acebutolol
C07AB05;Betaxolol
C07AB06;Bevantolol
C07AB07;Bisoprolol
C07AB08;Celiprolol
C07AB09;Esmolol
C07AB10;Epanolol
C07AB11;S-Atenolol
C07AB12;Nebivolol
C07AB13;Talinolol
C07AB52;Метопролол в комбинации с другими препаратами
C07AB57;Бисопролол в комбинации с другими препаратами
C07AG;Альфа-, бета-адреноблокаторы
C07AG01;Labetalol
C07AG02;Carvedilol
C07B;Бета-адреноблокаторы в комбинации с тиазидными диуретиками
C07BA;Неселективные бета-адреноблокаторы в комбинации с тиазидными диуретиками
C07BA02;Окспренолол в комбинации с тиазидными диуретиками
C07BA05;Пропранолол в комбинации с тиазидными диуретиками
C07BA06;Тимолол в комбинации с тиазидными диуретиками
C07BA07;Соталол в комбинации с тиазидными диуретиками
C07BA12;Надолол в комбинации с тиазидными диуретиками
C07BA68;Метипранол в комбинации с тиазидными диуретиками
C07BB;Селективные бета1-адреноблокаторы в комбинации с тиазидными диуретиками
C07BB02;Метопролол в комбинации с тиазидными диуретиками
C07BB03;Атенолол в комбинации с тиазидными диуретиками
C07BB04;Ацебутолол в комбинации с тиазидными диуретиками
C07BB06;Бевантолол в комбинации с тиазидными диуретиками
C07BB07;Бисопролол в комбинации с тиазидными диуретиками
C07BB12;Небиволол в комбинации с тиазидными диуретиками
C07BB52;Метопролол в комбинации с тиазидными диуретиками и препаратами
C07BG;Альфа- и бета-адреноблокаторы в комбинации с тиазидными диуретиками
C07BG01;Лабеталол в комбинации с тиазидными диуретиками
C07C;Бета-адреноблокаторы в комбинации с другими диуретиками
C07CA;Неселективные бета-адреноблокаторы в комбинации с другими диуретиками
C07CA02;Окспренолол в комбинации с другими диуретиками
C07CA03;Пиндолол в комбинации с другими диуретиками
C07CA17;Бопиндолол в комбинации с другими диуретиками
C07CA23;Пенбутолол в комбинации с другими диуретиками
C07CB;Селективные бета1-адреноблокаторы в комбинации с другими диуретиками
C07CB02;Метопролол в комбинации с другими диуретиками
C07CB03;Атенолол в комбинации с другими диуретиками
C07CB53;Атенолол в комбинации с другими диуретиками и препаратами
C07CG;Альфа- и бета-адреноблокаторы в комбинации с другими диуретиками
C07CG01;Лабеталол в комбинации с другими диуретиками
C07D;Бета-адреноблокаторы, тиазидные диуретики в комбинации с другими диуретиками
C07DA;Неселективные бета-адреноблокаторы, тиазиды в комбинации с другими диуретиками
C07DA06;Тимолол, тиазидные диуретики в комбинации с другими диуретиками
C07DB;Селективные бета1-адреноблокаторы, тиазидные диуретики в комбинации с другими диуретиками
C07DB01;Атенолол, тиазидные диуретики в комбинации с другими диуретиками
C07E;Бета-адреноблокаторы в комбинации с вазодилататорами
C07EA;Неселективные бета-адреноблокаторы в комбинации с вазодилататорами
C07EB;Селективные бета1-адреноблокаторы в комбинации с вазодилататорами
C07F;Бета-адреноблокаторы в комбинации с другими препаратами
C07FA;Неселективные бета-адреноблокаторы в комбинации с другими антигипертензивными препаратами
C07FA05;Пропранолол в комбинации с другими антигипертензивными препаратами
C07FB;Бета-адреноблокаторы в комбинации с блокаторами кальциевых каналов
C07FB02;Метопролол и фелодипин
C07FB03;Атенолол и нифедипин
C07FB07;Бисопролол и амлодипин
C07FB12;Небиволол и амлодипин
C07FB13;Метопролол и амлодипин
C07FX;Бета-адреноблокаторы, другие комбинации
C07FX01;Пропранолол в комбинации с другими препаратами
C07FX02;Соталол и ацетилсалициловая кислота
C07FX03;Метопролол и ацетилсалициловая кислота
C07FX04;Бисопролол и ацетилсалициловая кислота
C07FX05;Метопролол и ивабрадин
C08;Блокаторы кальциевых каналов
C08C;Селективные блокаторы кальциевых каналов с преимущественным влиянием на сосуды
C08CA;Дигидропиридиновые производные
C08CA01;Amlodipine
C08CA02;Felodipine
C08CA03;Isradipine
C08CA04;Nicardipine
C08CA05;Nifedipine
C08CA06;Nimodipine
C08CA07;Nisoldipine
C08CA08;Nitrendipine
C08CA09;Lacidipine
C08CA10;Nilvadipine
C08CA11;Manidipine
C08CA12;Barnidipine
C08CA13;Lercanidipine
C08CA14;Cilnidipine
C08CA15;Benidipine
C08CA55;Нифедипин в комбинации с другими препаратами
C08CX;Прочие селективные блокаторы кальциевых каналов с преимущественным влиянием на сосуды
C08CX01;Mibefradil
C08D;Селективные блокаторы кальциевых каналов с прямым влиянием на сердце
C08DA;Фенилалкиламиновые производные
C08DA01;Verapamil
C08DA02;Gallopamil
C08DA51;Верапамил в комбинации с другими препаратами
C08DB;Бензотиазепиновые производные
C08DB01;Diltiazem
C08E;Неселективные блокаторы кальциевых каналов
C08EA;Фенилалкиламиновые производные
C08EA01;Fendiline
C08EA02;Bepridil
C08EX;Прочие блокаторы кальциевых каналов
C08EX01;Lidoflazine
C08EX02;Perhexiline
C08G;Блокаторы кальциевых каналов в комбинации с диуретиками
C08GA;Блокаторы кальциевых каналов в комбинации с диуретиками
C08GA01;Нифедипин в комбинации с диуретиками
C08GA02;Амлодипин в комбинации с диуретиками
C09;Препараты, влияющие на ренин-ангиотензиновую систему
C09A;Ингибиторы ангиотензин-превращающего фермента (АПФ)
C09AA;Ингибиторы АПФ
C09AA01;Captopril
C09AA02;Enalapril
C09AA03;Lisinopril
C09AA04;Perindopril
C09AA05;Ramipril
C09AA06;Quinapril
C09AA07;Benazepril
C09AA08;Cilazapril
C09AA09;Fosinopril
C09AA10;Trandolapril
C09AA11;Spirapril
C09AA12;Delapril
C09AA13;Moexipril
C09AA14;Temocapril
C09AA15;Zofenopril
C09AA16;Imidapril
C09B;Ингибиторы АПФ в комбинации с другими препаратами
C09BA;Ингибиторы АПФ в комбинации с диуретиками
C09BA01;Каптоприл в комбинации с диуретиками
C09BA02;Эналаприл в комбинации с диуретиками
C09BA03;Лизиноприл в комбинации с диуретиками
C09BA04;Периндоприл в комбинации с диуретиками
C09BA05;Рамиприл в комбинации с диуретиками
C09BA06;Хинаприл в комбинации с диуретиками
C09BA07;Беназеприл в комбинации с диуретиками
C09BA08;Цилазаприл в комбинации с диуретиками
C09BA09;Фозиноприл в комбинации с диуретиками
C09BA12;Делаприл в комбинации с диуретиками
C09BA13;Моэксиприл в комбинации с диуретиками
C09BB;Ингибиторы АПФ в комбинации с блокаторами кальциевых каналов
C09BB02;Эналаприл в комбинации с лерканидипином
C09BB03;Лизиноприл в комбинации с амлодипином
C09BB04;Периндоприл в комбинации с амлодипином
C09BB05;Рамиприл в комбинации с фелодипином
C09BB07;Рамиприл в комбинации с амлодипином
C09BB10;Трандолаприл в комбинации с верапамилом
C09BB12;Делаприл в комбинации с манидипином
C09BX;Ингибиторы АПФ, другие комбинации
C09BX01;Периндоприл в комбинации с амлодипином и индапамидом
C09BX02;Периндоприл в комбинации с бисопрололом
C09C;Антагонисты ангиотензина II
C09CA;Антагонисты ангиотензина II
C09CA01;Losartan
C09CA02;Eprosartan
C09CA03;Valsartan
C09CA04;Irbesartan
C09CA05;Tasosartan
C09CA06;Candesartan
C09CA07;Telmisartan
C09CA08;Olmesartan medoxomil
C09CA09;Azilsartan medoxomil
C09CA10;Fimasartan
C09D;Антагонисты ангиотензина II в комбинации с другими препаратами
C09DA;Антагонисты ангиотензина II в комбинации с диуретиками
C09DA01;Лозартан в комбинации с диуретиками
C09DA02;Эпросартан в комбинации с диуретиками
C09DA03;Валсартан в комбинации с диуретиками
C09DA04;Ирбесартан в комбинации с диуретиками
C09DA06;Кандесартан в комбинации с диуретиками
C09DA07;Телмисартан в комбинации с диуретиками
C09DA08;Олмесартан медоксомил в комбинации с диуретиками
C09DA09;Азилсартан медоксомил в комбинации с диуретиками
C09DB;Антагонисты ангиотензина II в комбинации с блокаторами кальциевых каналов
C09DB01;Валсартан в комбинации с амлодипином
C09DB02;Олмесартана медоксомил в комбинации с амлодипином
C09DB04;Телмисартан в комбинации с амлодипином
C09DB05;Ирбесартан в комбинации с амлодипином
C09DB06;Лозартан в комбинации с амлодипином
C09DB07;Кандесартан в комбинации с амлодипином
C09DB08;Валсартан в комбинации с лерканидипином
C09DX;Антагонисты ангиотензина II в комбинации с другими препаратами
C09DX01;Валсартан, амлодипин и гидрохлоротиазид
C09DX02;Валсартан в комбинации с алискиреном
C09DX04;Валсартан в комбинации с сакубитрилом
C09X;Другие препараты, влияющие на ренин-ангиотензиновую систему
C09XA;Ингибиторы секреции ренина
C09XA01;Remikiren
C09XA02;Aliskiren
C09XA52;Алискирен в комбинации с гидрохлоротиазидом
C09XA53;Алискирен в комбинации с амлодипином
C10;Гиполипидемические препараты
C10A;Гипохолестеринемические и гипотриглицеридемические препараты
C10AA;Ингибиторы ГМГ-КоА-редуктазы
C10AA01;Simvastatin
C10AA02;Lovastatin
C10AA03;Pravastatin
C10AA04;Fluvastatin
C10AA05;Atorvastatin
C10AA06;Cerivastatin
C10AA07;Rosuvastatin
C10AA08;Pitavastatin
C10AB;Фибраты
C10AB01;Clofibrate
C10AB02;Bezafibrate
C10AB03;Aluminium clofibrate
C10AB04;Gemfibrozil
C10AB05;Fenofibrate
C10AB06;Simfibrate
C10AB07;Ronifibrate
C10AB08;Ciprofibrate
C10AB09;Etofibrate
C10AB10;Clofibride
C10AB11;Choline fenofibrate
C10AC;Препараты, связывающие желчные кислоты
C10AC01;Colestyramine
C10AC02;Colestipol
C10AC03;Colextran
C10AC04;Colesevelam
C10AD;Никотиновая кислота и ее производные
C10AD01;Niceritrol
C10AD02;Nicotinic acid
C10AD03;Nicofuranose
C10AD04;Aluminium nicotinate
C10AD05;Nicotinyl alcohol (pyridylcarbinol)
C10AD06;Acipimox
C10AD52;Никотиновая кислота в комбинациях
C10AX;Прочие гиполипидемические препараты
C10AX01;Dextrothyroxine
C10AX02;Probucol
C10AX03;Tiadenol
C10AX05;Meglutol
C10AX06;Омега-3 триглицериды, включая другие эфиры и кислоты
C10AX07;Magnesium pyridoxal 5-phosphate glutamate
C10AX08;Policosanol
C10AX09;Ezetimibe
C10AX10;Alipogene tiparvovec
C10AX13;Evolocumab
C10AX14;Alirocumab
C10B;Гиполипидемические препараты, комбинации
C10BA;Ингибиторы ГМГ-КоА-редуктазы в комбинации с другими гиполипидемическими препаратами
C10BA01;Ловастатин и никотиновая кислота
C10BA02;Симвастатин и эзетемиб
C10BA03;Правастатин и фенофибрат
C10BA06;Розувастатин в комбинации с эзетимибом
C10BA09;Розувастатин и фенофибрат
C10BX;Ингибиторы ГМГ-КоА-редуктазы, другие комбинации
C10BX01;Симвастатин и ацетилсалициловая кислота
C10BX02;Правастатин и ацетилсалициловая кислота
C10BX03;Аторвастатин и амлодипин
C10BX05;Розувастатин в комбинации с ацетилсалициловой кислотой
C10BX07;Розувастатин, амлодипин и лизиноприл
C10BX08;Аторвастатин и ацетилсалициловая кислота
C10BX09;Rosuvastatin and amlodipine
C10BX10;Розувастатин и валсартан
C10BX11;Аторвастатин, амлодипин и периндоприл
C10BX13;Розувастатин, периндоприл и индапамид
D;Дерматология
D01;Противогрибковые препараты для лечения заболеваний кожи
D01A;Противогрибковые препараты для наружного применения
D01AA;Противогрибковые антибиотики
D01AA01;Nystatin
D01AA02;Natamycin
D01AA03;Hachimycin
D01AA04;Pecilocin
D01AA06;Mepartricin
D01AA07;Pyrrolnitrin
D01AA08;Griseofulvin
D01AA20;Комбинированные препараты
D01AC;Производные имидазола
D01AC01;Clotrimazole
D01AC02;Miconazole
D01AC03;Econazole
D01AC04;Chlormidazole
D01AC05;Isoconazole
D01AC06;Tiabendazole
D01AC07;Tioconazole
D01AC08;Ketoconazole
D01AC09;Sulconazole
D01AC10;Bifonazole
D01AC11;Oxiconazole
D01AC12;Fenticonazole
D01AC13;Omoconazole
D01AC14;Sertaconazole
D01AC15;Fluconazole
D01AC16;Flutrimazole
D01AC18;Luliconazole
D01AC19;Efinaconazole
D01AC20;Комбинация производных имидазола/триазола с кортикостероидами
D01AC51;Клотримазол в комбинации с другими препаратами
D01AC52;Миконазол в комбинации с другими препаратами
D01AC60;Бифоназол в комбинации с другими препаратами
D01AE;Прочие противогрибковые препараты для наружного применения
D01AE01;Bromochlorosalicylanilide
D01AE02;Methylrosaniline
D01AE03;Tribromometacresol
D01AE04;Undecylenic acid
D01AE05;Polynoxylin
D01AE06;2-(4-Chlorphenoxy)-ethanol
D01AE07;Chlorphenesin
D01AE08;Ticlatone
D01AE09;Sulbentine
D01AE10;Ethyl hydroxybenzoate
D01AE11;Haloprogin
D01AE12;Salicylic acid
D01AE13;Selenium sulfide
D01AE14;Ciclopirox
D01AE15;Terbinafine
D01AE16;Amorolfine
D01AE17;Dimazole
D01AE18;Tolnaftate
D01AE19;Tolciclate
D01AE20;Комбинированные препараты
D01AE21;Flucytosine
D01AE22;Naftifine
D01AE23;Butenafine
D01AE54;Ундециленовая кислота в комбинации с другими препаратами
D01B;Противогрибковые препараты для системного применения
D01BA;Противогрибковые препараты для системного применения
D01BA01;Griseofulvin
D01BA02;Terbinafine
D02;Препараты со смягчающим и протекторным действием
D02A;Препараты со смягчающим и протекторным действием
D02AA;Препараты силикона
D02AB;Препараты цинка
D02AC;Препараты, содержащие мягкий парафин и жиры
D02AD;Пластыри жидкие
D02AE;Производные мочевины
D02AE01;Carbamide
D02AE51;Карбамид в комбинации с другими препаратами
D02AF;Препараты салициловой кислоты
D02AX;Прочие препараты со смягчающим и протекторным действием
D02B;Препараты с протекторным действием от УФ-облучения
D02BA;Препараты с протекторным действием от УФ-облучения для наружного применения
D02BA01;Aminobenzoic acid
D02BA02;Octinoxate
D02BB;Препараты с протекторным действием от УФ-облучения для системного применения
D02BB01;Betacarotene
D02BB02;Afamelanotide
D03;Препараты для лечения ран и язв
D03A;Препараты, способствующие нормальному рубцеванию
D03AA;Мази, содержащие жир печени трески
D03AX;Прочие препараты, способствующие нормальному рубцеванию
D03AX01;Cadexomer iodine
D03AX02;Dextranomer
D03AX03;Dexpanthenol
D03AX04;Calcium pantothenate
D03AX05;Hyaluronic acid
D03AX06;Becaplermin
D03AX09;Crilanomer
D03AX10;Enoxolone
D03B;Ферментные препараты
D03BA;Протеолитические ферменты
D03BA01;Trypsin
D03BA02;Collagenase
D03BA03;Bromelains
D03BA52;Коллагеназа в комбинации с другими препаратами
D04;Препараты для лечения зуда (включая антигистаминные препараты и анестетики)
D04A;Препараты для лечения зуда (включая антигистаминные препараты и анестетики)
D04AA;Антигистаминные препараты для наружного применения
D04AA01;Thonzylamine
D04AA02;Mepyramine
D04AA03;Thenalidine
D04AA04;Tripelennamine
D04AA09;Chloropyramine
D04AA10;Promethazine
D04AA12;Tolpropamine
D04AA13;Dimetindene
D04AA14;Clemastine
D04AA15;Bamipine
D04AA22;Isothipendyl
D04AA32;Diphenhydramine
D04AA33;Diphenhydramine methylbromide
D04AA34;Chlorphenoxamine
D04AB;Местные анестетики для наружного применения
D04AB01;Lidocaine
D04AB02;Cinchocaine
D04AB03;Oxybuprocaine
D04AB04;Benzocaine
D04AB05;Quinisocaine
D04AB06;Tetracaine
D04AB07;Pramocaine
D04AX;Прочие препараты для лечения зуда
D05;Препараты для лечения псориаза
D05A;Препараты для лечения псориаза для наружного применения
